Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.005860	 -1.#IND00 	 numero de thread:4
0.005880	 -1.#IND00 	 numero de thread:4
0.005900	 -1.#IND00 	 numero de thread:4
0.005920	 -1.#IND00 	 numero de thread:4
0.005940	 -1.#IND00 	 numero de thread:4
0.005960	 -1.#IND00 	 numero de thread:4
0.005980	 -1.#IND00 	 numero de thread:4
0.006000	 -1.#IND00 	 numero de thread:4
0.006020	 -1.#IND00 	 numero de thread:4
0.006040	 -1.#IND00 	 numero de thread:4
0.006060	 -1.#IND00 	 numero de thread:4
0.006080	 -1.#IND00 	 numero de thread:4
0.006100	 -1.#IND00 	 numero de thread:4
0.006120	 -1.#IND00 	 numero de thread:4
0.006140	 -1.#IND00 	 numero de thread:4
0.006160	 -1.#IND00 	 numero de thread:4
0.006180	 -1.#IND00 	 numero de thread:4
0.006200	 -1.#IND00 	 numero de thread:4
0.006220	 -1.#IND00 	 numero de thread:4
0.006240	 -1.#IND00 	 numero de thread:4
0.006260	 -1.#IND00 	 numero de thread:4
0.006280	 -1.#IND00 	 numero de thread:4
0.006300	 -1.#IND00 	 numero de thread:4
0.006320	 -1.#IND00 	 numero de thread:4
0.006340	 -1.#IND00 	 numero de thread:4
0.006360	 -1.#IND00 	 numero de thread:4
0.006380	 -1.#IND00 	 numero de thread:4
0.006400	 -1.#IND00 	 numero de thread:4
0.006420	 -1.#IND00 	 numero de thread:4
0.006440	 -1.#IND00 	 numero de thread:4
0.006460	 -1.#IND00 	 numero de thread:4
0.006480	 -1.#IND00 	 numero de thread:4
0.006500	 -1.#IND00 	 numero de thread:4
0.006520	 -1.#IND00 	 numero de thread:4
0.006540	 -1.#IND00 	 numero de thread:4
0.006560	 -1.#IND00 	 numero de thread:4
0.006580	 -1.#IND00 	 numero de thread:4
0.006600	 -1.#IND00 	 numero de thread:4
0.006620	 -1.#IND00 	 numero de thread:4
0.006640	 -1.#IND00 	 numero de thread:4
0.006660	 -1.#IND00 	 numero de thread:4
0.006680	 -1.#IND00 	 numero de thread:4
0.006700	 -1.#IND00 	 numero de thread:4
0.006720	 -1.#IND00 	 numero de thread:4
0.006740	 -1.#IND00 	 numero de thread:4
0.006760	 -1.#IND00 	 numero de thread:4
0.006780	 -1.#IND00 	 numero de thread:4
0.006800	 -1.#IND00 	 numero de thread:4
0.006820	 -1.#IND00 	 numero de thread:4
0.006840	 -1.#IND00 	 numero de thread:4
0.006860	 -1.#IND00 	 numero de thread:4
0.006880	 -1.#IND00 	 numero de thread:4
0.006900	 -1.#IND00 	 numero de thread:4
0.006920	 -1.#IND00 	 numero de thread:4
0.006940	 -1.#IND00 	 numero de thread:4
0.006960	 -1.#IND00 	 numero de thread:4
0.006980	 -1.#IND00 	 numero de thread:4
0.007000	 -1.#IND00 	 numero de thread:4
0.007020	 -1.#IND00 	 numero de thread:4
0.007040	 -1.#IND00 	 numero de thread:4
0.007060	 -1.#IND00 	 numero de thread:4
0.007080	 -1.#IND00 	 numero de thread:4
0.007100	 -1.#IND00 	 numero de thread:4
0.007120	 -1.#IND00 	 numero de thread:4
0.007140	 -1.#IND00 	 numero de thread:4
0.007160	 -1.#IND00 	 numero de thread:4
0.007180	 -1.#IND00 	 numero de thread:4
0.007200	 -1.#IND00 	 numero de thread:4
0.007220	 -1.#IND00 	 numero de thread:4
0.007240	 -1.#IND00 	 numero de thread:4
0.007260	 -1.#IND00 	 numero de thread:4
0.007280	 -1.#IND00 	 numero de thread:4
0.007300	 -1.#IND00 	 numero de thread:4
0.007320	 -1.#IND00 	 numero de thread:4
0.007340	 -1.#IND00 	 numero de thread:4
0.007360	 -1.#IND00 	 numero de thread:4
0.007380	 -1.#IND00 	 numero de thread:4
0.007400	 -1.#IND00 	 numero de thread:4
0.007420	 -1.#IND00 	 numero de thread:4
0.007440	 -1.#IND00 	 numero de thread:4
0.007460	 -1.#IND00 	 numero de thread:4
0.007480	 -1.#IND00 	 numero de thread:4
0.007500	 -1.#IND00 	 numero de thread:4
0.007520	 -1.#IND00 	 numero de thread:4
0.007540	 -1.#IND00 	 numero de thread:4
0.007560	 -1.#IND00 	 numero de thread:4
0.007580	 -1.#IND00 	 numero de thread:4
0.007600	 -1.#IND00 	 numero de thread:4
0.007620	 -1.#IND00 	 numero de thread:4
0.007640	 -1.#IND00 	 numero de thread:4
0.007660	 -1.#IND00 	 numero de thread:4
0.007680	 -1.#IND00 	 numero de thread:4
0.007700	 -1.#IND00 	 numero de thread:4
0.007720	 -1.#IND00 	 numero de thread:4
0.007740	 -1.#IND00 	 numero de thread:4
0.007760	 -1.#IND00 	 numero de thread:4
0.007780	 -1.#IND00 	 numero de thread:4
0.007800	 -1.#IND00 	 numero de thread:4
0.007820	 -1.#IND00 	 numero de thread:4
0.007840	 -1.#IND00 	 numero de thread:4
0.007860	 -1.#IND00 	 numero de thread:4
0.007880	 -1.#IND00 	 numero de thread:4
0.007900	 -1.#IND00 	 numero de thread:4
0.007920	 -1.#IND00 	 numero de thread:4
0.007940	 -1.#IND00 	 numero de thread:4
0.007960	 -1.#IND00 	 numero de thread:4
0.007980	 -1.#IND00 	 numero de thread:4
0.008000	 -1.#IND00 	 numero de thread:4
0.008020	 -1.#IND00 	 numero de thread:4
0.008040	 -1.#IND00 	 numero de thread:4
0.008060	 -1.#IND00 	 numero de thread:4
0.008080	 -1.#IND00 	 numero de thread:4
0.008100	 -1.#IND00 	 numero de thread:4
0.008120	 -1.#IND00 	 numero de thread:4
0.008140	 -1.#IND00 	 numero de thread:4
0.008160	 -1.#IND00 	 numero de thread:4
0.008180	 -1.#IND00 	 numero de thread:4
0.008200	 -1.#IND00 	 numero de thread:4
0.008220	 -1.#IND00 	 numero de thread:4
0.008240	 -1.#IND00 	 numero de thread:4
0.008260	 -1.#IND00 	 numero de thread:4
0.008280	 -1.#IND00 	 numero de thread:4
0.008300	 -1.#IND00 	 numero de thread:4
0.008320	 -1.#IND00 	 numero de thread:4
0.008340	 -1.#IND00 	 numero de thread:4
0.008360	 -1.#IND00 	 numero de thread:4
0.008380	 -1.#IND00 	 numero de thread:4
0.008400	 -1.#IND00 	 numero de thread:4
0.008420	 -1.#IND00 	 numero de thread:4
0.008440	 -1.#IND00 	 numero de thread:4
0.008460	 -1.#IND00 	 numero de thread:4
0.008480	 -1.#IND00 	 numero de thread:4
0.008500	 -1.#IND00 	 numero de thread:4
0.008520	 -1.#IND00 	 numero de thread:4
0.008540	 -1.#IND00 	 numero de thread:4
0.008560	 -1.#IND00 	 numero de thread:4
0.008580	 -1.#IND00 	 numero de thread:4
0.008600	 -1.#IND00 	 numero de thread:4
0.008620	 -1.#IND00 	 numero de thread:4
0.008640	 -1.#IND00 	 numero de thread:4
0.008660	 -1.#IND00 	 numero de thread:4
0.008680	 -1.#IND00 	 numero de thread:4
0.008700	 -1.#IND00 	 numero de thread:4
0.008720	 -1.#IND00 	 numero de thread:4
0.008740	 -1.#IND00 	 numero de thread:4
0.008760	 -1.#IND00 	 numero de thread:4
0.008780	 -1.#IND00 	 numero de thread:4
0.008800	 -1.#IND00 	 numero de thread:4
0.008820	 -1.#IND00 	 numero de thread:4
0.008840	 -1.#IND00 	 numero de thread:4
0.008860	 -1.#IND00 	 numero de thread:4
0.008880	 -1.#IND00 	 numero de thread:4
0.008900	 -1.#IND00 	 numero de thread:4
0.008920	 -1.#IND00 	 numero de thread:4
